id,candidate,votes,state,county
1,Obama,91696,AK,Alaska
4589,Romney,121234,AK,Alaska
2,Obama,6354,AL,Autauga
4590,Romney,17366,AL,Autauga
3,Obama,18329,AL,Baldwin
4591,Romney,65772,AL,Baldwin
4,Obama,5873,AL,Barbour
4592,Romney,5539,AL,Barbour
5,Obama,2200,AL,Bibb
4593,Romney,6131,AL,Bibb
6,Obama,2961,AL,Blount
4594,Romney,20741,AL,Blount
7,Obama,4058,AL,Bullock
4595,Romney,1250,AL,Bullock
8,Obama,4367,AL,Butler
4596,Romney,5081,AL,Butler
9,Obama,15500,AL,Calhoun
4597,Romney,30272,AL,Calhoun
10,Obama,6853,AL,Chambers
4598,Romney,7596,AL,Chambers
11,Obama,2126,AL,Cherokee
4599,Romney,7494,AL,Cherokee
12,Obama,3391,AL,Chilton
4600,Romney,13910,AL,Chilton
13,Obama,3785,AL,Choctaw
4601,Romney,4150,AL,Choctaw
14,Obama,6317,AL,Clarke
4602,Romney,7463,AL,Clarke
15,Obama,1770,AL,Clay
4603,Romney,4802,AL,Clay
16,Obama,971,AL,Cleburne
4604,Romney,5269,AL,Cleburne
17,Obama,4899,AL,Coffee
4605,Romney,14638,AL,Coffee
18,Obama,9160,AL,Colbert
4606,Romney,13931,AL,Colbert
19,Obama,3551,AL,Conecuh
4607,Romney,3434,AL,Conecuh
20,Obama,2188,AL,Coosa
4608,Romney,3028,AL,Coosa
21,Obama,3155,AL,Covington
4609,Romney,12148,AL,Covington
22,Obama,2048,AL,Crenshaw
4610,Romney,4326,AL,Crenshaw
23,Obama,4855,AL,Cullman
4611,Romney,27930,AL,Cullman
24,Obama,5283,AL,Dale
4612,Romney,13105,AL,Dale
25,Obama,14599,AL,Dallas
4613,Romney,6284,AL,Dallas
26,Obama,5235,AL,DeKalb
4614,Romney,18316,AL,DeKalb
27,Obama,8940,AL,Elmore
4615,Romney,26223,AL,Elmore
28,Obama,5476,AL,Escambia
4616,Romney,9263,AL,Escambia
29,Obama,12792,AL,Etowah
4617,Romney,29102,AL,Etowah
30,Obama,1803,AL,Fayette
4618,Romney,6034,AL,Fayette
31,Obama,3171,AL,Franklin
4619,Romney,7567,AL,Franklin
32,Obama,2039,AL,Geneva
4620,Romney,9173,AL,Geneva
33,Obama,4514,AL,Greene
4621,Romney,799,AL,Greene
34,Obama,5401,AL,Hale
4622,Romney,3205,AL,Hale
35,Obama,3046,AL,Henry
4623,Romney,5605,AL,Henry
36,Obama,12348,AL,Houston
4624,Romney,29214,AL,Houston
37,Obama,5817,AL,Jackson
4625,Romney,14422,AL,Jackson
38,Obama,159658,AL,Jefferson
4626,Romney,141413,AL,Jefferson
39,Obama,1643,AL,Lamar
4627,Romney,5453,AL,Lamar
40,Obama,12504,AL,Lauderdale
4628,Romney,23902,AL,Lauderdale
41,Obama,5055,AL,Lawrence
4629,Romney,8855,AL,Lawrence
42,Obama,21274,AL,Lee
4630,Romney,32062,AL,Lee
43,Obama,9809,AL,Limestone
4631,Romney,25263,AL,Limestone
44,Obama,5747,AL,Lowndes
4632,Romney,1754,AL,Lowndes
45,Obama,9045,AL,Macon
4633,Romney,1322,AL,Macon
46,Obama,61802,AL,Madison
4634,Romney,90679,AL,Madison
47,Obama,6154,AL,Marengo
4635,Romney,5321,AL,Marengo
48,Obama,2249,AL,Marion
4636,Romney,9696,AL,Marion
49,Obama,6271,AL,Marshall
4637,Romney,25785,AL,Marshall
50,Obama,78417,AL,Mobile
4638,Romney,94566,AL,Mobile
51,Obama,4897,AL,Monroe
4639,Romney,5730,AL,Monroe
52,Obama,62993,AL,Montgomery
4640,Romney,38283,AL,Montgomery
53,Obama,13401,AL,Morgan
4641,Romney,35309,AL,Morgan
54,Obama,4536,AL,Perry
4642,Romney,1504,AL,Perry
55,Obama,4448,AL,Pickens
4643,Romney,5119,AL,Pickens
56,Obama,6009,AL,Pike
4644,Romney,7939,AL,Pike
57,Obama,3076,AL,Randolph
4645,Romney,7219,AL,Randolph
58,Obama,10495,AL,Russell
4646,Romney,8276,AL,Russell
60,Obama,19944,AL,Shelby
4648,Romney,71243,AL,Shelby
59,Obama,5790,AL,St. Clair
4647,Romney,29001,AL,St. Clair
61,Obama,5420,AL,Sumter
4649,Romney,1585,AL,Sumter
62,Obama,13878,AL,Talladega
4650,Romney,19217,AL,Talladega
63,Obama,6252,AL,Tallapoosa
4651,Romney,12303,AL,Tallapoosa
64,Obama,32003,AL,Tuscaloosa
4652,Romney,45703,AL,Tuscaloosa
65,Obama,6551,AL,Walker
4653,Romney,21633,AL,Walker
66,Obama,2971,AL,Washington
4654,Romney,5749,AL,Washington
67,Obama,4867,AL,Wilcox
4655,Romney,1676,AL,Wilcox
68,Obama,1286,AL,Winston
4656,Romney,8310,AL,Winston
69,Obama,2454,AR,Arkansas
4657,Romney,3892,AR,Arkansas
70,Obama,2855,AR,Ashley
4658,Romney,4866,AR,Ashley
71,Obama,5172,AR,Baxter
4659,Romney,13688,AR,Baxter
72,Obama,22144,AR,Benton
4660,Romney,53477,AR,Benton
73,Obama,3762,AR,Boone
4661,Romney,11143,AR,Boone
74,Obama,1447,AR,Bradley
4662,Romney,2118,AR,Bradley
75,Obama,660,AR,Calhoun
4663,Romney,1458,AR,Calhoun
76,Obama,3691,AR,Carroll
4664,Romney,6121,AR,Carroll
77,Obama,2649,AR,Chicot
4665,Romney,1670,AR,Chicot
78,Obama,3808,AR,Clark
4666,Romney,4343,AR,Clark
79,Obama,1738,AR,Clay
4667,Romney,3225,AR,Clay
80,Obama,2618,AR,Cleburne
4668,Romney,8691,AR,Cleburne
81,Obama,845,AR,Cleveland
4669,Romney,2313,AR,Cleveland
82,Obama,3557,AR,Columbia
4670,Romney,5790,AR,Columbia
83,Obama,3003,AR,Conway
4671,Romney,4511,AR,Conway
84,Obama,10351,AR,Craighead
4672,Romney,20044,AR,Craighead
85,Obama,4872,AR,Crawford
4673,Romney,15125,AR,Crawford
86,Obama,9092,AR,Crittenden
4674,Romney,6192,AR,Crittenden
87,Obama,2279,AR,Cross
4675,Romney,4268,AR,Cross
88,Obama,1337,AR,Dallas
4676,Romney,1664,AR,Dallas
89,Obama,2353,AR,Desha
4677,Romney,1807,AR,Desha
90,Obama,2627,AR,Drew
4678,Romney,3883,AR,Drew
91,Obama,13559,AR,Faulkner
4679,Romney,26653,AR,Faulkner
92,Obama,1725,AR,Franklin
4680,Romney,4631,AR,Franklin
93,Obama,1452,AR,Fulton
4681,Romney,2949,AR,Fulton
94,Obama,13317,AR,Garland
4682,Romney,25031,AR,Garland
95,Obama,1467,AR,Grant
4683,Romney,4829,AR,Grant
96,Obama,3998,AR,Greene
4684,Romney,9066,AR,Greene
97,Obama,2466,AR,Hempstead
4685,Romney,4284,AR,Hempstead
98,Obama,3824,AR,Hot Spring
4686,Romney,7087,AR,Hot Spring
99,Obama,1460,AR,Howard
4687,Romney,2862,AR,Howard
100,Obama,3279,AR,Independence
4688,Romney,8724,AR,Independence
101,Obama,1563,AR,Izard
4689,Romney,3571,AR,Izard
102,Obama,2093,AR,Jackson
4690,Romney,3065,AR,Jackson
103,Obama,17456,AR,Jefferson
4691,Romney,9515,AR,Jefferson
104,Obama,2785,AR,Johnson
4692,Romney,5045,AR,Johnson
105,Obama,1173,AR,Lafayette
4693,Romney,1712,AR,Lafayette
106,Obama,1786,AR,Lawrence
4694,Romney,3535,AR,Lawrence
107,Obama,2107,AR,Lee
4695,Romney,1280,AR,Lee
108,Obama,1424,AR,Lincoln
4696,Romney,2199,AR,Lincoln
109,Obama,1552,AR,Little River
4697,Romney,3385,AR,Little River
110,Obama,2009,AR,Logan
4698,Romney,5078,AR,Logan
111,Obama,5612,AR,Lonoke
4699,Romney,17863,AR,Lonoke
112,Obama,2099,AR,Madison
4700,Romney,4262,AR,Madison
113,Obama,2024,AR,Marion
4701,Romney,4771,AR,Marion
114,Obama,4518,AR,Miller
4702,Romney,10622,AR,Miller
115,Obama,6445,AR,Mississippi
4703,Romney,6599,AR,Mississippi
116,Obama,1583,AR,Monroe
4704,Romney,1585,AR,Monroe
117,Obama,920,AR,Montgomery
4705,Romney,2368,AR,Montgomery
118,Obama,1314,AR,Nevada
4706,Romney,1996,AR,Nevada
119,Obama,993,AR,Newton
4707,Romney,2508,AR,Newton
120,Obama,4626,AR,Ouachita
4708,Romney,5516,AR,Ouachita
121,Obama,1187,AR,Perry
4709,Romney,2580,AR,Perry
122,Obama,5179,AR,Phillips
4710,Romney,2591,AR,Phillips
123,Obama,850,AR,Pike
4711,Romney,2847,AR,Pike
124,Obama,2387,AR,Poinsett
4712,Romney,4967,AR,Poinsett
125,Obama,1556,AR,Polk
4713,Romney,5950,AR,Polk
126,Obama,5108,AR,Pope
4714,Romney,14733,AR,Pope
127,Obama,877,AR,Prairie
4715,Romney,2149,AR,Prairie
128,Obama,87055,AR,Pulaski
4716,Romney,68856,AR,Pulaski
129,Obama,2040,AR,Randolph
4717,Romney,3699,AR,Randolph
130,Obama,4652,AR,Saint Francis
4718,Romney,3287,AR,Saint Francis
131,Obama,12868,AR,Saline
4719,Romney,32962,AR,Saline
132,Obama,895,AR,Scott
4720,Romney,2630,AR,Scott
133,Obama,814,AR,Searcy
4721,Romney,2699,AR,Searcy
134,Obama,13083,AR,Sebastian
4722,Romney,29158,AR,Sebastian
135,Obama,1042,AR,Sevier
4723,Romney,3135,AR,Sevier
136,Obama,2092,AR,Sharp
4724,Romney,4920,AR,Sharp
137,Obama,1356,AR,Stone
4725,Romney,3773,AR,Stone
138,Obama,6182,AR,Union
4726,Romney,10696,AR,Union
139,Obama,1826,AR,Van Buren
4727,Romney,4362,AR,Van Buren
140,Obama,28136,AR,Washington
4728,Romney,39570,AR,Washington
141,Obama,5765,AR,White
4729,Romney,20005,AR,White
142,Obama,1340,AR,Woodruff
4730,Romney,1227,AR,Woodruff
143,Obama,1720,AR,Yell
4731,Romney,4041,AR,Yell
144,Obama,16833,AZ,Apache
4732,Romney,8198,AZ,Apache
145,Obama,16223,AZ,Cochise
4733,Romney,26742,AZ,Cochise
146,Obama,26316,AZ,Coconino
4734,Romney,19368,AZ,Coconino
147,Obama,6650,AZ,Gila
4735,Romney,11525,AZ,Gila
148,Obama,3608,AZ,Graham
4736,Romney,8076,AZ,Graham
