id,candidate,votes,state,county/township
23,clinton,5908,AL,Autauga
23,trump,18110,AL,Autauga
6,clinton,18409,AL,Baldwin
6,trump,72780,AL,Baldwin
43,clinton,4848,AL,Barbour
43,trump,5431,AL,Barbour
49,clinton,1874,AL,Bibb
49,trump,6733,AL,Bibb
22,clinton,2150,AL,Blount
22,trump,22808,AL,Blount
67,clinton,3530,AL,Bullock
67,trump,1139,AL,Bullock
50,clinton,3716,AL,Butler
50,trump,4891,AL,Butler
10,clinton,13197,AL,Calhoun
10,trump,32803,AL,Calhoun
35,clinton,5763,AL,Chambers
35,trump,7803,AL,Chambers
42,clinton,1524,AL,Cherokee
42,trump,8809,AL,Cherokee
31,clinton,2909,AL,Chilton
31,trump,15068,AL,Chilton
55,clinton,3109,AL,Choctaw
55,trump,4102,AL,Choctaw
37,clinton,5712,AL,Clarke
37,trump,7109,AL,Clarke
58,clinton,1234,AL,Clay
58,trump,5230,AL,Clay
60,clinton,684,AL,Cleburne
60,trump,5738,AL,Cleburne
26,clinton,4194,AL,Coffee
26,trump,15825,AL,Coffee
24,clinton,7296,AL,Colbert
24,trump,16718,AL,Colbert
59,clinton,3069,AL,Conecuh
59,trump,3413,AL,Conecuh
65,clinton,1780,AL,Coosa
65,trump,3376,AL,Coosa
32,clinton,2379,AL,Covington
32,trump,13222,AL,Covington
62,clinton,1663,AL,Crenshaw
62,trump,4511,AL,Crenshaw
16,clinton,3730,AL,Cullman
16,trump,32734,AL,Cullman
29,clinton,4408,AL,Dale
29,trump,13798,AL,Dale
28,clinton,12826,AL,Dallas
28,trump,5784,AL,Dallas
21,clinton,3682,AL,DeKalb
21,trump,21779,AL,DeKalb
17,clinton,8436,AL,Elmore
17,trump,27619,AL,Elmore
33,clinton,4698,AL,Escambia
33,trump,10282,AL,Escambia
11,clinton,10350,AL,Etowah
11,trump,32132,AL,Etowah
52,clinton,1358,AL,Fayette
52,trump,6705,AL,Fayette
39,clinton,2197,AL,Franklin
39,trump,9466,AL,Franklin
40,clinton,1522,AL,Geneva
40,trump,9967,AL,Geneva
66,clinton,4006,AL,Greene
66,trump,838,AL,Greene
54,clinton,4772,AL,Hale
54,trump,3172,AL,Hale
53,clinton,2286,AL,Henry
53,trump,5623,AL,Henry
12,clinton,10547,AL,Houston
12,trump,30567,AL,Houston
25,clinton,3663,AL,Jackson
25,trump,16643,AL,Jackson
1,clinton,151581,AL,Jefferson
1,trump,130614,AL,Jefferson
56,clinton,1035,AL,Lamar
56,trump,5819,AL,Lamar
14,clinton,9877,AL,Lauderdale
14,trump,27735,AL,Lauderdale
34,clinton,3611,AL,Lawrence
34,trump,10732,AL,Lawrence
8,clinton,20987,AL,Lee
8,trump,34321,AL,Lee
13,clinton,9340,AL,Limestone
13,trump,28824,AL,Limestone
57,clinton,4882,AL,Lowndes
57,trump,1751,AL,Lowndes
48,clinton,7237,AL,Macon
48,trump,1394,AL,Macon
3,clinton,62435,AL,Madison
3,trump,89199,AL,Madison
41,clinton,5607,AL,Marengo
41,trump,5224,AL,Marengo
38,clinton,1432,AL,Marion
38,trump,11273,AL,Marion
18,clinton,4913,AL,Marshall
18,trump,29217,AL,Marshall
2,clinton,68429,AL,Mobile
2,trump,91087,AL,Mobile
45,clinton,4310,AL,Monroe
45,trump,5771,AL,Monroe
5,clinton,58669,AL,Montgomery
5,trump,33928,AL,Montgomery
9,clinton,11216,AL,Morgan
9,trump,37392,AL,Morgan
64,clinton,3823,AL,Perry
64,trump,1403,AL,Perry
47,clinton,3972,AL,Pickens
47,trump,5454,AL,Pickens
36,clinton,5039,AL,Pike
36,trump,7681,AL,Pike
46,clinton,2290,AL,Randolph
46,trump,7697,AL,Randolph
27,clinton,9577,AL,Russell
27,trump,9210,AL,Russell
4,clinton,22927,AL,Shelby
4,trump,72846,AL,Shelby
15,clinton,5550,AL,St. Clair
15,trump,31579,AL,St. Clair
61,clinton,4739,AL,Sumter
61,trump,1581,AL,Sumter
19,clinton,12108,AL,Talladega
19,trump,20596,AL,Talladega
30,clinton,5271,AL,Tallapoosa
30,trump,12967,AL,Tallapoosa
7,clinton,31746,AL,Tuscaloosa
7,trump,47701,AL,Tuscaloosa
20,clinton,4486,AL,Walker
20,trump,24208,AL,Walker
51,clinton,2366,AL,Washington
51,trump,6031,AL,Washington
63,clinton,4329,AL,Wilcox
63,trump,1737,AL,Wilcox
44,clinton,871,AL,Winston
44,trump,9225,AL,Winston
128,clinton,1939,AR,Arkansas
128,trump,3825,AR,Arkansas
112,clinton,2408,AR,Ashley
112,trump,5338,AR,Ashley
96,clinton,4163,AR,Baxter
96,trump,14655,AR,Baxter
84,clinton,27894,AR,Benton
84,trump,60751,AR,Benton
98,clinton,2925,AR,Boone
98,trump,12225,AR,Boone
146,clinton,1317,AR,Bradley
146,trump,2163,AR,Bradley
157,clinton,636,AR,Calhoun
157,trump,1554,AR,Calhoun
106,clinton,3334,AR,Carroll
106,trump,6773,AR,Carroll
141,clinton,2350,AR,Chicot
141,trump,1716,AR,Chicot
110,clinton,3606,AR,Clark
110,trump,4398,AR,Clark
129,clinton,1999,AR,Clay
129,trump,3779,AR,Clay
104,clinton,2101,AR,Cleburne
104,trump,9454,AR,Cleburne
149,clinton,723,AR,Cleveland
149,trump,2460,AR,Cleveland
109,clinton,3140,AR,Columbia
109,trump,5456,AR,Columbia
113,clinton,2655,AR,Conway
113,trump,4844,AR,Conway
90,clinton,10474,AR,Craighead
90,trump,22798,AR,Craighead
94,clinton,4476,AR,Crawford
94,trump,16655,AR,Crawford
100,clinton,8368,AR,Crittenden
100,trump,6953,AR,Crittenden
121,clinton,1995,AR,Cross
121,trump,4577,AR,Cross
155,clinton,1165,AR,Dallas
155,trump,1507,AR,Dallas
140,clinton,2227,AR,Desha
140,trump,1915,AR,Desha
125,clinton,2364,AR,Drew
125,trump,3967,AR,Drew
87,clinton,14525,AR,Faulkner
87,trump,29170,AR,Faulkner
124,clinton,1376,AR,Franklin
124,trump,5034,AR,Franklin
136,clinton,1067,AR,Fulton
136,trump,3470,AR,Fulton
89,clinton,12283,AR,Garland
89,trump,26053,AR,Garland
120,clinton,1407,AR,Grant
120,trump,5160,AR,Grant
101,clinton,3056,AR,Greene
101,trump,10698,AR,Greene
118,clinton,2371,AR,Hempstead
118,trump,4391,AR,Hempstead
105,clinton,3137,AR,Hot Spring
105,trump,8153,AR,Hot Spring
137,clinton,1350,AR,Howard
137,trump,3155,AR,Howard
102,clinton,2878,AR,Independence
102,trump,9925,AR,Independence
132,clinton,1111,AR,Izard
132,trump,4042,AR,Izard
135,clinton,1583,AR,Jackson
135,trump,3262,AR,Jackson
93,clinton,15721,AR,Jefferson
93,trump,9231,AR,Jefferson
108,clinton,2421,AR,Johnson
108,trump,6072,AR,Johnson
153,clinton,1028,AR,Lafayette
153,trump,1750,AR,Lafayette
130,clinton,1263,AR,Lawrence
130,trump,4064,AR,Lawrence
152,clinton,1735,AR,Lee
152,trump,1229,AR,Lee
143,clinton,1252,AR,Lincoln
143,trump,2455,AR,Lincoln
134,clinton,1397,AR,Little River
134,trump,3604,AR,Little River
114,clinton,1712,AR,Logan
114,trump,5737,AR,Logan
92,clinton,5638,AR,Lonoke
92,trump,19902,AR,Lonoke
122,clinton,1587,AR,Madison
122,trump,4917,AR,Madison
123,clinton,1377,AR,Marion
123,trump,5077,AR,Marion
99,clinton,4273,AR,Miller
99,trump,11293,AR,Miller
103,clinton,5621,AR,Mississippi
103,trump,6988,AR,Mississippi
154,clinton,1298,AR,Monroe
154,trump,1400,AR,Monroe
147,clinton,735,AR,Montgomery
147,trump,2573,AR,Montgomery
150,clinton,1156,AR,Nevada
150,trump,2001,AR,Nevada
144,clinton,699,AR,Newton
144,trump,2875,AR,Newton
107,clinton,4320,AR,Ouachita
107,trump,5347,AR,Ouachita
139,clinton,1035,AR,Perry
139,trump,2979,AR,Perry
119,clinton,4292,AR,Phillips
119,trump,2443,AR,Phillips
142,clinton,684,AR,Pike
142,trump,3150,AR,Pike
133,clinton,1878,AR,Poinsett
133,trump,3149,AR,Poinsett
111,clinton,1210,AR,Polk
111,trump,6606,AR,Polk
95,clinton,4818,AR,Pope
95,trump,15694,AR,Pope
148,clinton,812,AR,Prairie
148,trump,2503,AR,Prairie
83,clinton,89377,AR,Pulaski
83,trump,61182,AR,Pulaski
127,clinton,1425,AR,Randolph
127,trump,4508,AR,Randolph
115,clinton,4031,AR,Saint Francis
